geoid,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,year,units,prior_cost,cost,icost,prior_reduction,reduction,ireduction,z,diversification,emissions,status,base_emissions,base_vmt,base_ef,total_cost,n_years,max_annual_policies,min_annual_policies,min_total_policies,max_total_policies,max_annual_policy_scale,max_total_cost,max_annual_cost,min_annual_cost,min_total_cost,min_emissions_chg,min_annual_emissions_chg,effect_emissions,effect_vmt,effect_ef
36077,10,10,100,10,10,10,10,10,10,10,2044,30000,108300000,114000000,0.14763014763014762,121944.62778171648,128362.76608601735,0.2513649284856776,0.19949753805791265,0.1,168757.21391398262,success,297119.98,743515980.24,3.9961478689952624e-4,10,20,10,0,1,200,100,600000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2045,30000,114000000,119700000,0.155011655011655,128362.76608601735,134780.9043903182,0.21393317490996155,0.18447241496080824,0.1,163670.2956096818,success,298451.2,748858966.5,3.9854126524637134e-4,10,21,10,0,1,210,100,630000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2046,30000,119700000,125400000,0.1623931623931624,134780.9043903182,141199.04269461907,0.1765014213342454,0.16944729186370394,0.1,159336.41730538095,success,300535.46,754218989.78,3.984724119551325e-4,10,22,10,0,1,220,100,660000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2047,30000,125400000,131100000,0.16977466977466976,141199.04269461907,147617.18099891994,0.13906966775852936,0.15442216876659953,0.1,155002.5390010801,success,302619.72000000003,759579013.06,3.984045304001781e-4,10,23,10,0,1,230,100,690000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2048,30000,131100000,136800000,0.17715617715617715,147617.18099891994,154035.3193032208,0.1016379141828132,0.1393970456694952,0.1,150668.66069677917,success,304703.98,764939036.34,3.983376001542758e-4,10,24,10,0,1,240,100,720000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2049,30000,136800000,142500000,0.18453768453768454,154035.3193032208,160453.45760752168,0.06420616060709705,0.12437192257239081,0.1,146334.78239247832,success,306788.24,770299059.62,3.9827160135875436e-4,10,25,10,0,1,250,100,750000000,30000000,0,0,0,0,NA,NA,NA
36077,10,10,100,10,10,10,10,10,10,10,2050,30000,142500000,148200000,0.1919191919191919,160453.45760752168,166871.59591182254,0.026774407031380898,0.10934679947528643,0.1,142000.90408817746,success,308872.5,775659082.9,3.982065147038582e-4,10,26,10,0,1,260,100,780000000,30000000,0,0,0,0,NA,NA,NA
36079,10,10,100,10,10,10,10,10,10,10,2025,30000,0,5700000,0.007381507381507382,0,6418.138304300866,0.9806527920081268,0.4940171496948171,0.1,596831.0616956991,success,603249.2,1287966601.9,4.683733251390918e-4,10,1,10,0,1,10,100,30000000,30000000,0,0,0,0,NA,NA,NA
36079,10,10,100,10,10,10,10,10,10,10,2026,30000,5700000,11400000,0.014763014763014764,6418.138304300866,12836.276608601733,0.9613055840162535,0.48803429938963416,0.1,583573.1233913982,success,596409.3999999999,1297137344.54,4.597889363916994e-4,10,2,10,0,1,20,100,60000000,30000000,0,0,0,0,NA,NA,NA
36079,10,10,100,10,10,10,10,10,10,10,2027,30000,11400000,17100000,0.022144522144522144,12836.276608601733,19254.414912902597,0.9419583760243804,0.48205144908445124,0.1,570315.1850870973,success,589569.6,1306308087.18,4.51325078506355e-4,10,3,10,0,1,30,100,90000000,30000000,0,0,0,0,NA,NA,NA
36079,10,10,100,10,10,10,10,10,10,10,2028,30000,17100000,22800000,0.029526029526029528,19254.414912902597,25672.553217203465,0.9226111680325071,0.4760685987792683,0.1,557057.2467827965,success,582729.7999999999,1315478829.82,4.429792306727857e-4,10,4,10,0,1,40,100,120000000,30000000,0,0,0,0,NA,NA,NA
36079,10,10,100,10,10,10,10,10,10,10,2029,30000,22800000,28500000,0.036907536907536904,25672.553217203465,32090.691521504334,0.9032639600406339,0.4700857484740854,0.1,543799.3084784957,success,575890,1324649572.46,4.3474894188847064e-4,10,5,10,0,1,50,100,150000000,30000000,0,0,0,0,NA,NA,NA
36079,10,10,100,10,10,10,10,10,10,10,2030,30000,28500000,34200000,0.04428904428904429,32090.691521504334,38508.8298258052,0.8839167520487606,0.4641028981689025,0.1,530541.3701741948,success,569050.2,1333820315.1,4.2663182855880914e-4,10,6,10,0,1,60,100,180000000,30000000,0,0,0,0,NA,NA,NA
